Requests, Calculations, Minimal portion, Maximal portion, Operations quantum, Number of threads, Solution, Storage size
100000, -62780844, 1, 100, 0, 16, Asynchronous, 1000, 223.3489625
100000, -62780844, 1, 100, 0, 16, Synchronous, 1000, 115.8423444
100000, 56669281, 1, 100, 30, 16, Asynchronous, 1000, 188.5555295
100000, 56669281, 1, 100, 30, 16, Synchronous, 1000, 253.3752723
100000, 32928831, 1, 100, 60, 16, Asynchronous, 1000, 200.4794616
100000, 32928831, 1, 100, 60, 16, Synchronous, 1000, 295.0993622
100000, 22750537, 1, 100, 90, 16, Asynchronous, 1000, 209.1549156
100000, 22750537, 1, 100, 90, 16, Synchronous, 1000, 262.5234464
100000, 16931474, 1, 100, 120, 16, Asynchronous, 1000, 208.1024754
100000, 16931474, 1, 100, 120, 16, Synchronous, 1000, 271.8289266
100000, 14376735, 1, 100, 150, 16, Asynchronous, 1000, 222.5460231
100000, 14376735, 1, 100, 150, 16, Synchronous, 1000, 280.8956752
100000, -33588810, 1, 100, 0, 18, Asynchronous, 1000, 267.0401775
100000, -33588810, 1, 100, 0, 18, Synchronous, 1000, 132.8638207
100000, -45596429, 1, 100, 30, 18, Asynchronous, 1000, 269.196432
100000, -45596429, 1, 100, 30, 18, Synchronous, 1000, 132.878845
100000, 34138763, 1, 100, 60, 18, Asynchronous, 1000, 255.2694869
100000, 34138763, 1, 100, 60, 18, Synchronous, 1000, 317.0205344
100000, 25530819, 1, 100, 90, 18, Asynchronous, 1000, 265.7253029
100000, 25530819, 1, 100, 90, 18, Synchronous, 1000, 368.2286839
100000, 19024253, 1, 100, 120, 18, Asynchronous, 1000, 263.9632698
100000, 19024253, 1, 100, 120, 18, Synchronous, 1000, 322.1552577
100000, 14772712, 1, 100, 150, 18, Asynchronous, 1000, 257.6310571
100000, 14772712, 1, 100, 150, 18, Synchronous, 1000, 356.0034191
100000, -22263357, 1, 100, 0, 20, Asynchronous, 1000, 353.3079013
100000, -22263357, 1, 100, 0, 20, Synchronous, 1000, 150.6144781
100000, -25777212, 1, 100, 30, 20, Asynchronous, 1000, 328.660803
100000, -25777212, 1, 100, 30, 20, Synchronous, 1000, 150.2991652
100000, 38500995, 1, 100, 60, 20, Asynchronous, 1000, 313.3815077
100000, 38500995, 1, 100, 60, 20, Synchronous, 1000, 402.6760554
100000, 28546918, 1, 100, 90, 20, Asynchronous, 1000, 331.9579322
100000, 28546918, 1, 100, 90, 20, Synchronous, 1000, 448.1045592
100000, 21395650, 1, 100, 120, 20, Asynchronous, 1000, 330.2680712
100000, 21395650, 1, 100, 120, 20, Synchronous, 1000, 415.8889246
100000, 18341682, 1, 100, 150, 20, Asynchronous, 1000, 356.251361
100000, 18341682, 1, 100, 150, 20, Synchronous, 1000, 463.197188
